06-23 22:52:23.933 |-INFO  o.a.coyote.http11.Http11NioProtocol:173 - Starting ProtocolHandler ["http-nio-9095"]
06-23 22:52:24.052 |-INFO  o.s.b.w.e.tomcat.TomcatWebServer:220 - Tomcat started on port(s): 9095 (http) with context path ''
06-23 22:52:24.107 |-INFO  c.a.t.g.business.ReportApplication:61 - Started ReportApplication in 26.078 seconds (JVM running for 27.103)
06-23 22:53:09.412 |-INFO  o.a.c.c.C.[Tomcat].[localhost].[/]:173 - Initializing Spring DispatcherServlet 'dispatcherServlet'
06-23 22:53:09.413 |-INFO  o.s.web.servlet.DispatcherServlet:525 - Initializing Servlet 'dispatcherServlet'
06-23 22:53:09.428 |-INFO  o.s.web.servlet.DispatcherServlet:547 - Completed initialization in 14 ms
06-23 22:53:10.307 |-INFO  com.zaxxer.hikari.HikariDataSource:110 - HikariPool-2 - Starting...
06-23 22:53:10.320 |-INFO  com.zaxxer.hikari.HikariDataSource:123 - HikariPool-2 - Start completed.
06-23 22:53:26.105 |-INFO  c.a.t.g.b.m.d.s.impl.JdbcServiceImpl:40 - 创建连接池成功：jdbc:mysql://127.0.0.1:3306/trade?useUnicode=true&characterEncoding=UTF-8&serverTimezone=GMT%2B8
06-23 22:53:26.105 |-INFO  c.a.t.g.b.m.d.s.impl.JdbcServiceImpl:40 - 创建连接池成功：jdbc:mysql://127.0.0.1:3306/trade?useUnicode=true&characterEncoding=UTF-8&serverTimezone=GMT%2B8
06-23 22:53:26.105 |-INFO  c.a.t.g.b.m.d.s.impl.JdbcServiceImpl:40 - 创建连接池成功：jdbc:mysql://127.0.0.1:3306/trade?useUnicode=true&characterEncoding=UTF-8&serverTimezone=GMT%2B8
06-23 22:53:26.105 |-INFO  c.a.t.g.b.m.d.s.impl.JdbcServiceImpl:40 - 创建连接池成功：jdbc:mysql://127.0.0.1:3306/trade?useUnicode=true&characterEncoding=UTF-8&serverTimezone=GMT%2B8
06-23 22:53:26.105 |-INFO  c.a.t.g.b.m.d.s.impl.JdbcServiceImpl:40 - 创建连接池成功：jdbc:mysql://127.0.0.1:3306/trade?useUnicode=true&characterEncoding=UTF-8&serverTimezone=GMT%2B8
06-23 22:53:26.105 |-INFO  c.a.t.g.b.m.d.s.impl.JdbcServiceImpl:40 - 创建连接池成功：jdbc:mysql://127.0.0.1:3306/trade?useUnicode=true&characterEncoding=UTF-8&serverTimezone=GMT%2B8
06-23 22:53:26.644 |-INFO  c.alibaba.druid.pool.DruidDataSource:985 - {dataSource-1} inited
06-23 22:54:31.800 |-ERROR c.a.d.pool.DruidAbstractDataSource:1488 - discard long time none received connection. , jdbcUrl : jdbc:mysql://127.0.0.1:3306/trade?useUnicode=true&characterEncoding=UTF-8&serverTimezone=GMT%2B8, jdbcUrl : jdbc:mysql://127.0.0.1:3306/trade?useUnicode=true&characterEncoding=UTF-8&serverTimezone=GMT%2B8, lastPacketReceivedIdleMillis : 65109
